İl                             Province,"Kütüphane sayısı
Number of libraries","Kütüphaneden yararlanan kişi sayısı
Number of people benefiting from the library","Kütüphaneye kayıtlı üye sayısı
Number of registered members of the library","Ödünç verilen materyal sayısı
Number of 
materials lent","Kitap sayısı
Number of books",Genel                                                            Generalities,Felsefe ve psikoloji                                     Philosophy and psychology,Din                                                              Religion,Sosyal bilimler                                                   Social sciences,Dil ve dil bilim                           Language and linguistics,"Doğa bilimleri ve matematik                                       Natural sciences 
and mathematics",Uygulamalı bilimler ve teknoloji                                                                Applied sciences and technology,Sanat                                                      The arts,Edebiyat ve retorik                    Literature and rhetoric,"Coğrafya, tarih ve yardımcı disiplinler Geography, history and subsidiary disciplines"
Iğdır,  5, 141 091, 21 487, 26 091, 103 279,  1 840,  5 865,  8 097,  19 665,  2 365,  2 683,  4 376,  3 139,  47 461,  7 788
Ardahan,  6, 65 100, 9 582, 8 603, 64 964,  1 619,  3 333,  3 642,  12 785,  1 065,  1 494,  2 288,  3 033,  29 508,  6 197
Malatya,  19, 520 719, 79 225, 75 622, 289 215,  19 688,  10 210,  17 578,  51 386,  5 903,  5 401,  7 694,  10 269,  131 905,  29 181
Elazığ,  12, 588 402, 68 741, 68 638, 236 509,  9 699,  9 065,  15 209,  39 897,  3 101,  4 289,  5 775,  6 892,  116 887,  25 695
Bingöl,  7, 299 417, 45 331, 49 070, 176 251,  4 557,  7 199,  12 720,  32 811,  2 369,  3 030,  5 226,  6 547,  84 282,  17 510
Tunceli,  7, 48 632, 12 454, 17 156, 118 254,  1 317,  5 352,  6 489,  25 707,  1 357,  1 803,  3 017,  3 501,  60 763,  8 948
Van,  20,1 308 178, 311 543, 678 458, 464 500,  4 540,  18 889,  26 658,  88 113,  4 733,  10 744,  15 831,  12 073,  251 110,  31 809
Muş,  8, 561 135, 47 878, 31 473, 170 664,  4 511,  6 270,  9 177,  32 119,  2 694,  3 299,  5 419,  5 822,  86 944,  14 409
Bitlis,  8, 334 947, 51 974, 110 852, 172 914,  2 612,  7 984,  14 881,  31 267,  2 543,  3 326,  3 733,  5 312,  87 747,  13 509
Hakkari,  6, 106 722, 25 873, 28 058, 106 858,  19 868,  3 508,  6 399,  13 222,  1 374,  1 312,  2 049,  2 437,  47 587,  9 102
Gaziantep,  14, 351 814, 157 181, 74 590, 307 506,  6 071,  13 193,  19 072,  57 292,  4 416,  5 799,  9 305,  11 139,  154 210,  27 009
